"Malderen","Malderen"
"Manage","Manage"
"Marbehan","Marbehan"
"Marche-en-Famenne","Marche en Famenne"
"Marche-les-Dames","Marche les Dames"
"Marche-lez-Écaussinnes","Marche lez Écaussinnes"
"Marchienne-au-Pont","Marchienne au Pont"
"Marchienne-Zone","Marchienne Zone"
"Maria-Aalter","Maria Aalter"
"Mariembourg","Mariembourg"
"Marloie","Marloie"
"Masnuy-Saint-Pierre","Masnuy Saint Pierre"
"Maubray","Maubray"
"Mazy","Mazy"
"Mechelen","Mechelen"
"Mechelen-Nekkerspoel","Mechelen Nekkerspoel"
"Meiser","Meiser"
"Melkouwen","Melkouwen"
"Melle","Melle"
"Melreux-Hotton","Melreux Hotton"
"Melsele","Melsele"
"Menen","Menen"
"Merchtem","Merchtem"
"Merelbeke","Merelbeke"
"Merode","Merode"
"Méry","Méry"
"Messancy","Messancy"
"Mevergnies-Attre","Mevergnies Attre"
"Michelau","Michelau"
"Milmort","Milmort"
"Moensberg","Moensberg"
"Mouscron","Mouscron"
"Mol","Mol"
"Mollem","Mollem"
"Momalle","Momalle"
"Mons","Mons"
"Mont-Saint-Guibert","Mont Saint Guibert"
"Moortsele","Moortsele"
"Morlanwelz","Morlanwelz"
"Mortsel","Mortsel"
"Mortsel-Deurnesteenweg","Mortsel Deurnesteenweg"
"Mortsel-Liersesteenweg","Mortsel Liersesteenweg"
"Mortsel-Oude God","Mortsel Oude God"
"Moustier","Moustier"
"Muizen","Muizen"
"Munkzwalm","Munkzwalm"
"Namêche","Namêche"
"Namur","Namur"
"Naninne","Naninne"
"Natoye","Natoye"
"Neerpelt","Neerpelt"
"Neerwinden","Neerwinden"
"Nessonvaux","Nessonvaux"
"Neufchâteau","Neufchâteau"
"Neufvilles","Neufvilles"
"Niel","Niel"
"Nieuwkerken-Waas","Nieuwkerken Waas"
"Nijlen","Nijlen"
"Nimy","Nimy"
"Ninove","Ninove"
"Nivelles","Nivelles"
"Noorderkempen","Noorderkempen"
"Nossegem","Nossegem"
"Obaix-Buzet","Obaix Buzet"
"Obourg","Obourg"
"Okegem","Okegem"
"Olen","Olen"
"Oostende","Oostende"
"Oostkamp","Oostkamp"
"Opwijk","Opwijk"
"Ottignies","Ottignies"
"Oud-Heverlee","Oud Heverlee"
"Oudegem","Oudegem"
"Oudenaarde","Oudenaarde"
"Overpelt","Overpelt"
"Paliseul","Paliseul"
"Papegem","Papegem"
"Pécrot","Pécrot"
"Pepinster","Pepinster"
"Pepinster-Cité","Pepinster Cité"
"Péruwelz","Péruwelz"
"Philippeville","Philippeville"
"Piéton","Piéton"
"Poix-Saint-Hubert","Poix Saint Hubert"
"Pont-à-Celles","Pont à Celles"
"Pont-de-Seraing","Pont de Seraing"
"Poperinge","Poperinge"
"Poulseur","Poulseur"
"Profondsart","Profondsart"
"Pry","Pry"
"Puurs","Puurs"
"Quaregnon","Quaregnon"
"Quevy","Quevy"
"Quievrain","Quievrain"
